DataSeries,year_month,no_of_visitors
        Other Markets In Europe,2024Mar,24682
    Oceania,2024Mar,102173
        Australia,2024Mar,90438
        New Zealand,2024Mar,9008
        Other Markets In Oceania,2024Mar,2727
    Africa,2024Mar,5176
        Egypt,2024Mar,175
        Mauritius,2024Mar,346
        South Africa (Rep Of),2024Mar,2742
        Other Markets In Africa,2024Mar,1913
    Others,2024Mar,66
Total International Visitor Arrivals By Inbound Tourism Markets,2024Feb,1417807
    Southeast Asia,2024Feb,430395
        Brunei Darussalam,2024Feb,4582
        Indonesia,2024Feb,190713
        Malaysia,2024Feb,100051
        Myanmar,2024Feb,10682
        Philippines,2024Feb,55604
        Thailand,2024Feb,31089
        Vietnam,2024Feb,31776
        Other Markets In Southeast Asia,2024Feb,5898
    Greater China,2024Feb,401348
        China,2024Feb,326900
        Hong Kong SAR,2024Feb,26507
        Taiwan,2024Feb,45705
        Other Markets In Greater China,2024Feb,2236
    North Asia,2024Feb,114583
        Japan,2024Feb,45284
        South Korea,2024Feb,69112
        Other Markets In North Asia,2024Feb,187
    South Asia,2024Feb,83642
        Bangladesh,2024Feb,8792
        India,2024Feb,66149
        Pakistan,2024Feb,1626
        Sri Lanka,2024Feb,4111
        Other Markets In South Asia,2024Feb,2964
    West Asia,2024Feb,11498
        Iran,2024Feb,506
        Israel,2024Feb,1346
        Kuwait,2024Feb,510
        Saudi Arabia,2024Feb,2003
        United Arab Emirates,2024Feb,4982
        Other Markets In West Asia,2024Feb,2151
    Americas,2024Feb,81002
        Canada,2024Feb,12948
        USA,2024Feb,60333
        Other Markets In Americas,2024Feb,7721
    Europe,2024Feb,201201
        Belgium & Luxembourg,2024Feb,2444
        Denmark,2024Feb,3320
        Finland,2024Feb,3277
        France,2024Feb,17244
        Germany,2024Feb,37724
        Italy,2024Feb,5038
        Netherlands,2024Feb,7294
        Norway,2024Feb,2659
        Rep Of Ireland,2024Feb,2344
        Russian Federation,2024Feb,7152
        Spain,2024Feb,3659
        Sweden,2024Feb,3178
        Switzerland,2024Feb,7967
        United Kingdom,2024Feb,68148
        Other Markets In Europe,2024Feb,29753
    Oceania,2024Feb,90105
        Australia,2024Feb,79386
        New Zealand,2024Feb,8093
        Other Markets In Oceania,2024Feb,2626
    Africa,2024Feb,3976
        Egypt,2024Feb,220
        Mauritius,2024Feb,292
        South Africa (Rep Of),2024Feb,1621
        Other Markets In Africa,2024Feb,1843
    Others,2024Feb,57
Total International Visitor Arrivals By Inbound Tourism Markets,2024Jan,1419956
    Southeast Asia,2024Jan,486141
        Brunei Darussalam,2024Jan,5215
        Indonesia,2024Jan,268958
        Malaysia,2024Jan,93381
        Myanmar,2024Jan,12361
        Philippines,2024Jan,46287
        Thailand,2024Jan,27194
        Vietnam,2024Jan,25911
        Other Markets In Southeast Asia,2024Jan,6834
    Greater China,2024Jan,276899
        China,2024Jan,211178
        Hong Kong SAR,2024Jan,23419
        Taiwan,2024Jan,38454
        Other Markets In Greater China,2024Jan,3848
    North Asia,2024Jan,117148
        Japan,2024Jan,37684
        South Korea,2024Jan,79254
        Other Markets In North Asia,2024Jan,210
    South Asia,2024Jan,102934
        Bangladesh,2024Jan,10332
        India,2024Jan,82113
        Pakistan,2024Jan,1411
        Sri Lanka,2024Jan,5586
        Other Markets In South Asia,2024Jan,3492
    West Asia,2024Jan,11377
        Iran,2024Jan,409
        Israel,2024Jan,1075
        Kuwait,2024Jan,955
        Saudi Arabia,2024Jan,2079
        United Arab Emirates,2024Jan,4759
        Other Markets In West Asia,2024Jan,2100
    Americas,2024Jan,84243
        Canada,2024Jan,12878
        USA,2024Jan,62008
        Other Markets In Americas,2024Jan,9357
    Europe,2024Jan,191737
        Belgium & Luxembourg,2024Jan,2302
        Denmark,2024Jan,2986
        Finland,2024Jan,3490
        France,2024Jan,12945
        Germany,2024Jan,40120
        Italy,2024Jan,5573
        Netherlands,2024Jan,7685
        Norway,2024Jan,2128
        Rep Of Ireland,2024Jan,2218
        Russian Federation,2024Jan,9466
