DataSeries,year_month,no_of_visitors
    North Asia,2019Mar,131235
        Japan,2019Mar,84048
        South Korea,2019Mar,47168
        Other Markets In North Asia,2019Mar,19
    South Asia,2019Mar,128593
        Bangladesh,2019Mar,10894
        India,2019Mar,106506
        Pakistan,2019Mar,1419
        Sri Lanka,2019Mar,7044
        Other Markets In South Asia,2019Mar,2730
    West Asia,2019Mar,15025
        Iran,2019Mar,1864
        Israel,2019Mar,1945
        Kuwait,2019Mar,522
        Saudi Arabia,2019Mar,952
        United Arab Emirates,2019Mar,7546
        Other Markets In West Asia,2019Mar,2196
    Americas,2019Mar,91115
        Canada,2019Mar,15968
        USA,2019Mar,65415
        Other Markets In Americas,2019Mar,9732
    Europe,2019Mar,213342
        Belgium & Luxembourg,2019Mar,2800
        Denmark,2019Mar,3562
        Finland,2019Mar,3106
        France,2019Mar,19099
        Germany,2019Mar,44963
        Italy,2019Mar,7201
        Netherlands,2019Mar,8288
        Norway,2019Mar,2811
        Rep Of Ireland,2019Mar,2115
        Russian Federation,2019Mar,8585
        Spain,2019Mar,4274
        Sweden,2019Mar,4849
        Switzerland,2019Mar,8336
        United Kingdom,2019Mar,66796
        Other Markets In Europe,2019Mar,26557
    Oceania,2019Mar,83730
        Australia,2019Mar,73841
        New Zealand,2019Mar,8108
        Other Markets In Oceania,2019Mar,1781
    Africa,2019Mar,6106
        Egypt,2019Mar,314
        Mauritius,2019Mar,846
        South Africa (Rep Of),2019Mar,3219
        Other Markets In Africa,2019Mar,1727
    Others,2019Mar,0
Total International Visitor Arrivals By Inbound Tourism Markets,2019Feb,1499051
    Southeast Asia,2019Feb,455405
        Brunei Darussalam,2019Feb,4105
        Indonesia,2019Feb,213991
        Malaysia,2019Feb,88706
        Myanmar,2019Feb,10522
        Philippines,2019Feb,52211
        Thailand,2019Feb,33685
        Vietnam,2019Feb,44283
        Other Markets In Southeast Asia,2019Feb,7902
    Greater China,2019Feb,423941
        China,2019Feb,339550
        Hong Kong SAR,2019Feb,38921
        Taiwan,2019Feb,42977
        Other Markets In Greater China,2019Feb,2493
    North Asia,2019Feb,132146
        Japan,2019Feb,69885
        South Korea,2019Feb,62241
        Other Markets In North Asia,2019Feb,20
    South Asia,2019Feb,108449
        Bangladesh,2019Feb,9321
        India,2019Feb,88926
        Pakistan,2019Feb,1327
        Sri Lanka,2019Feb,6277
        Other Markets In South Asia,2019Feb,2598
    West Asia,2019Feb,9935
        Iran,2019Feb,446
        Israel,2019Feb,1896
        Kuwait,2019Feb,662
        Saudi Arabia,2019Feb,765
        United Arab Emirates,2019Feb,4409
        Other Markets In West Asia,2019Feb,1757
    Americas,2019Feb,77043
        Canada,2019Feb,13833
        USA,2019Feb,56240
        Other Markets In Americas,2019Feb,6970
    Europe,2019Feb,213198
        Belgium & Luxembourg,2019Feb,2489
        Denmark,2019Feb,4049
        Finland,2019Feb,4220
        France,2019Feb,19884
        Germany,2019Feb,41522
        Italy,2019Feb,10085
        Netherlands,2019Feb,7435
        Norway,2019Feb,3441
        Rep Of Ireland,2019Feb,1737
        Russian Federation,2019Feb,8145
        Spain,2019Feb,4065
        Sweden,2019Feb,5707
        Switzerland,2019Feb,8564
        United Kingdom,2019Feb,62481
        Other Markets In Europe,2019Feb,29374
    Oceania,2019Feb,74454
        Australia,2019Feb,66199
        New Zealand,2019Feb,6831
        Other Markets In Oceania,2019Feb,1424
    Africa,2019Feb,4480
        Egypt,2019Feb,341
        Mauritius,2019Feb,842
        South Africa (Rep Of),2019Feb,1845
        Other Markets In Africa,2019Feb,1452
    Others,2019Feb,0
Total International Visitor Arrivals By Inbound Tourism Markets,2019Jan,1624593
    Southeast Asia,2019Jan,491810
        Brunei Darussalam,2019Jan,5953
        Indonesia,2019Jan,261622
        Malaysia,2019Jan,88293
        Myanmar,2019Jan,11074
        Philippines,2019Jan,49245
        Thailand,2019Jan,34822
        Vietnam,2019Jan,32747
        Other Markets In Southeast Asia,2019Jan,8054
    Greater China,2019Jan,393850
        China,2019Jan,320581
        Hong Kong SAR,2019Jan,30056
        Taiwan,2019Jan,40086
        Other Markets In Greater China,2019Jan,3127
    North Asia,2019Jan,139127
        Japan,2019Jan,66402
        South Korea,2019Jan,72704
        Other Markets In North Asia,2019Jan,21
    South Asia,2019Jan,126665
        Bangladesh,2019Jan,9960
        India,2019Jan,104562
        Pakistan,2019Jan,1959
        Sri Lanka,2019Jan,6367
        Other Markets In South Asia,2019Jan,3817
    West Asia,2019Jan,11527
        Iran,2019Jan,420
        Israel,2019Jan,2374
        Kuwait,2019Jan,1174
        Saudi Arabia,2019Jan,963
        United Arab Emirates,2019Jan,4805
        Other Markets In West Asia,2019Jan,1791
    Americas,2019Jan,92393
        Canada,2019Jan,14958
        USA,2019Jan,67151
        Other Markets In Americas,2019Jan,10284
    Europe,2019Jan,224478
        Belgium & Luxembourg,2019Jan,2632
        Denmark,2019Jan,3542
        Finland,2019Jan,3642
        France,2019Jan,18052
        Germany,2019Jan,46784
        Italy,2019Jan,10910
        Netherlands,2019Jan,8212
        Norway,2019Jan,2902
        Rep Of Ireland,2019Jan,1999
        Russian Federation,2019Jan,12763
        Spain,2019Jan,4212
        Sweden,2019Jan,7721
        Switzerland,2019Jan,9232
        United Kingdom,2019Jan,59288
        Other Markets In Europe,2019Jan,32587
    Oceania,2019Jan,137660
        Australia,2019Jan,122672
        New Zealand,2019Jan,12969
        Other Markets In Oceania,2019Jan,2019
    Africa,2019Jan,7083
        Egypt,2019Jan,349
        Mauritius,2019Jan,973
        South Africa (Rep Of),2019Jan,3566
        Other Markets In Africa,2019Jan,2195
    Others,2019Jan,0
Total International Visitor Arrivals By Inbound Tourism Markets,2018Dec,1603217
    Southeast Asia,2018Dec,644044
        Brunei Darussalam,2018Dec,10490
        Indonesia,2018Dec,321060
        Malaysia,2018Dec,142986
        Myanmar,2018Dec,12753
        Philippines,2018Dec,72787
        Thailand,2018Dec,37270
        Vietnam,2018Dec,37772
        Other Markets In Southeast Asia,2018Dec,8926
    Greater China,2018Dec,302561
        China,2018Dec,238194
        Hong Kong SAR,2018Dec,36982
        Taiwan,2018Dec,24048
        Other Markets In Greater China,2018Dec,3337
    North Asia,2018Dec,105988
        Japan,2018Dec,63738
        South Korea,2018Dec,42223
        Other Markets In North Asia,2018Dec,27
    South Asia,2018Dec,144231
        Bangladesh,2018Dec,11297
        India,2018Dec,117495
        Pakistan,2018Dec,2373
        Sri Lanka,2018Dec,9116
        Other Markets In South Asia,2018Dec,3950
    West Asia,2018Dec,13458
        Iran,2018Dec,292
        Israel,2018Dec,1682
        Kuwait,2018Dec,778
        Saudi Arabia,2018Dec,1304
        United Arab Emirates,2018Dec,6704
        Other Markets In West Asia,2018Dec,2698
    Americas,2018Dec,85208
        Canada,2018Dec,13614
        USA,2018Dec,64115
        Other Markets In Americas,2018Dec,7479
    Europe,2018Dec,175053
        Belgium & Luxembourg,2018Dec,2481
        Denmark,2018Dec,2660
        Finland,2018Dec,3357
        France,2018Dec,12922
        Germany,2018Dec,39214
        Italy,2018Dec,8637
        Netherlands,2018Dec,6999
        Norway,2018Dec,2570
        Rep Of Ireland,2018Dec,1582
        Russian Federation,2018Dec,7989
        Spain,2018Dec,4053
        Sweden,2018Dec,6588
        Switzerland,2018Dec,8809
        United Kingdom,2018Dec,46047
        Other Markets In Europe,2018Dec,21145
    Oceania,2018Dec,119602
        Australia,2018Dec,104928
        New Zealand,2018Dec,11860
        Other Markets In Oceania,2018Dec,2814
    Africa,2018Dec,13072
        Egypt,2018Dec,435
        Mauritius,2018Dec,2835
        South Africa (Rep Of),2018Dec,6378
        Other Markets In Africa,2018Dec,3424
    Others,2018Dec,0
Total International Visitor Arrivals By Inbound Tourism Markets,2018Nov,1406985
    Southeast Asia,2018Nov,514632
        Brunei Darussalam,2018Nov,6118
        Indonesia,2018Nov,226425
        Malaysia,2018Nov,117793
        Myanmar,2018Nov,11846
        Philippines,2018Nov,66526
        Thailand,2018Nov,38796
        Vietnam,2018Nov,38089
        Other Markets In Southeast Asia,2018Nov,9039
    Greater China,2018Nov,280164
        China,2018Nov,220053
        Hong Kong SAR,2018Nov,32620
        Taiwan,2018Nov,25608
        Other Markets In Greater China,2018Nov,1883
    North Asia,2018Nov,124453
        Japan,2018Nov,73787
        South Korea,2018Nov,50634
        Other Markets In North Asia,2018Nov,32
    South Asia,2018Nov,142818
        Bangladesh,2018Nov,9001
        India,2018Nov,121319
        Pakistan,2018Nov,1464
        Sri Lanka,2018Nov,8097
        Other Markets In South Asia,2018Nov,2937
    West Asia,2018Nov,10396
        Iran,2018Nov,342
        Israel,2018Nov,1704
        Kuwait,2018Nov,375
        Saudi Arabia,2018Nov,768
        United Arab Emirates,2018Nov,5652
        Other Markets In West Asia,2018Nov,1555
    Americas,2018Nov,75548
        Canada,2018Nov,12031
        USA,2018Nov,56184
        Other Markets In Americas,2018Nov,7333
    Europe,2018Nov,167566
        Belgium & Luxembourg,2018Nov,2727
        Denmark,2018Nov,2631
        Finland,2018Nov,2585
        France,2018Nov,16162
        Germany,2018Nov,29465
        Italy,2018Nov,5973
        Netherlands,2018Nov,7686
        Norway,2018Nov,2611
        Rep Of Ireland,2018Nov,1862
        Russian Federation,2018Nov,7139
        Spain,2018Nov,5173
        Sweden,2018Nov,4308
        Switzerland,2018Nov,8447
        United Kingdom,2018Nov,48748
        Other Markets In Europe,2018Nov,22049
    Oceania,2018Nov,85319
        Australia,2018Nov,74827
        New Zealand,2018Nov,8603
        Other Markets In Oceania,2018Nov,1889
    Africa,2018Nov,6088
        Egypt,2018Nov,289
        Mauritius,2018Nov,1894
        South Africa (Rep Of),2018Nov,2154
        Other Markets In Africa,2018Nov,1751
    Others,2018Nov,1
Total International Visitor Arrivals By Inbound Tourism Markets,2018Oct,1467380
    Southeast Asia,2018Oct,533250
        Brunei Darussalam,2018Oct,5017
        Indonesia,2018Oct,225244
        Malaysia,2018Oct,103676
        Myanmar,2018Oct,12874
        Philippines,2018Oct,68218
        Thailand,2018Oct,65734
        Vietnam,2018Oct,41185
        Other Markets In Southeast Asia,2018Oct,11302
    Greater China,2018Oct,314537
        China,2018Oct,247664
        Hong Kong SAR,2018Oct,34865
        Taiwan,2018Oct,30334
        Other Markets In Greater China,2018Oct,1674
    North Asia,2018Oct,127966
        Japan,2018Oct,74019
        South Korea,2018Oct,53926
        Other Markets In North Asia,2018Oct,21
    South Asia,2018Oct,140584
        Bangladesh,2018Oct,11206
        India,2018Oct,114000
        Pakistan,2018Oct,1643
        Sri Lanka,2018Oct,9312
        Other Markets In South Asia,2018Oct,4423
    West Asia,2018Oct,10437
        Iran,2018Oct,233
        Israel,2018Oct,2073
        Kuwait,2018Oct,370
        Saudi Arabia,2018Oct,703
        United Arab Emirates,2018Oct,5129
        Other Markets In West Asia,2018Oct,1929
    Americas,2018Oct,62266
        Canada,2018Oct,8923
        USA,2018Oct,46260
        Other Markets In Americas,2018Oct,7083
    Europe,2018Oct,162926
        Belgium & Luxembourg,2018Oct,2670
        Denmark,2018Oct,3097
        Finland,2018Oct,2867
        France,2018Oct,15717
        Germany,2018Oct,28808
        Italy,2018Oct,5777
        Netherlands,2018Oct,7839
        Norway,2018Oct,2608
        Rep Of Ireland,2018Oct,1842
        Russian Federation,2018Oct,5274
        Spain,2018Oct,5138
        Sweden,2018Oct,4051
        Switzerland,2018Oct,9085
        United Kingdom,2018Oct,48279
        Other Markets In Europe,2018Oct,19874
    Oceania,2018Oct,109285
        Australia,2018Oct,95096
        New Zealand,2018Oct,12404
        Other Markets In Oceania,2018Oct,1785
    Africa,2018Oct,6129
        Egypt,2018Oct,393
        Mauritius,2018Oct,915
        South Africa (Rep Of),2018Oct,2712
        Other Markets In Africa,2018Oct,2109
    Others,2018Oct,0
Total International Visitor Arrivals By Inbound Tourism Markets,2018Sep,1415149
    Southeast Asia,2018Sep,497316
        Brunei Darussalam,2018Sep,6133
        Indonesia,2018Sep,224629
        Malaysia,2018Sep,106880
        Myanmar,2018Sep,10211
        Philippines,2018Sep,57241
        Thailand,2018Sep,40580
        Vietnam,2018Sep,43407
        Other Markets In Southeast Asia,2018Sep,8235
    Greater China,2018Sep,309748
        China,2018Sep,239824
        Hong Kong SAR,2018Sep,35588
        Taiwan,2018Sep,32317
        Other Markets In Greater China,2018Sep,2019
    North Asia,2018Sep,124766
        Japan,2018Sep,77013
        South Korea,2018Sep,47734
        Other Markets In North Asia,2018Sep,19
    South Asia,2018Sep,126605
        Bangladesh,2018Sep,10074
        India,2018Sep,102251
        Pakistan,2018Sep,1808
        Sri Lanka,2018Sep,9442
        Other Markets In South Asia,2018Sep,3030
    West Asia,2018Sep,11098
        Iran,2018Sep,551
        Israel,2018Sep,2379
        Kuwait,2018Sep,385
        Saudi Arabia,2018Sep,807
        United Arab Emirates,2018Sep,5174
        Other Markets In West Asia,2018Sep,1802
    Americas,2018Sep,56056
        Canada,2018Sep,7669
        USA,2018Sep,42379
        Other Markets In Americas,2018Sep,6008
    Europe,2018Sep,159993
        Belgium & Luxembourg,2018Sep,2586
        Denmark,2018Sep,2519
        Finland,2018Sep,2021
        France,2018Sep,13550
        Germany,2018Sep,28000
        Italy,2018Sep,7349
        Netherlands,2018Sep,7998
        Norway,2018Sep,2124
        Rep Of Ireland,2018Sep,1762
        Russian Federation,2018Sep,4456
        Spain,2018Sep,6652
        Sweden,2018Sep,2306
        Switzerland,2018Sep,7084
        United Kingdom,2018Sep,53207
        Other Markets In Europe,2018Sep,18379
    Oceania,2018Sep,123418
        Australia,2018Sep,107933
        New Zealand,2018Sep,13767
        Other Markets In Oceania,2018Sep,1718
    Africa,2018Sep,6146
        Egypt,2018Sep,372
        Mauritius,2018Sep,746
        South Africa (Rep Of),2018Sep,3084
        Other Markets In Africa,2018Sep,1944
    Others,2018Sep,3
Total International Visitor Arrivals By Inbound Tourism Markets,2018Aug,1683122
    Southeast Asia,2018Aug,509153
        Brunei Darussalam,2018Aug,5168
        Indonesia,2018Aug,217787
        Malaysia,2018Aug,103490
        Myanmar,2018Aug,10759
        Philippines,2018Aug,63556
        Thailand,2018Aug,40452
        Vietnam,2018Aug,60051
        Other Markets In Southeast Asia,2018Aug,7890
    Greater China,2018Aug,487260
        China,2018Aug,380108
        Hong Kong SAR,2018Aug,56484
        Taiwan,2018Aug,46429
        Other Markets In Greater China,2018Aug,4239
    North Asia,2018Aug,163269
        Japan,2018Aug,100491
        South Korea,2018Aug,62729
        Other Markets In North Asia,2018Aug,49
    South Asia,2018Aug,130017
        Bangladesh,2018Aug,11010
        India,2018Aug,100744
        Pakistan,2018Aug,2519
        Sri Lanka,2018Aug,12264
        Other Markets In South Asia,2018Aug,3480
    West Asia,2018Aug,21407
        Iran,2018Aug,874
        Israel,2018Aug,1931
        Kuwait,2018Aug,2347
        Saudi Arabia,2018Aug,1677
        United Arab Emirates,2018Aug,10476
        Other Markets In West Asia,2018Aug,4102
    Americas,2018Aug,60752
        Canada,2018Aug,9887
        USA,2018Aug,46269
        Other Markets In Americas,2018Aug,4596
    Europe,2018Aug,206031
        Belgium & Luxembourg,2018Aug,4142
        Denmark,2018Aug,2525
        Finland,2018Aug,1156
        France,2018Aug,28097
        Germany,2018Aug,29525
        Italy,2018Aug,22950
        Netherlands,2018Aug,12488
        Norway,2018Aug,2206
        Rep Of Ireland,2018Aug,2069
        Russian Federation,2018Aug,5014
        Spain,2018Aug,11978
