age_group,year_month,no_of_visitors
45-54 Years,2018-08-01,264785
55-64 Years,2018-08-01,170394
65 & Over,2018-08-01,97186
Under 15 Years,2018-07-01,249662
15-19 Years,2018-07-01,96938
20-24 Years,2018-07-01,129865
25-34 Years,2018-07-01,339958
35-44 Years,2018-07-01,364322
45-54 Years,2018-07-01,278326
55-64 Years,2018-07-01,174911
65 & Over,2018-07-01,98914
Under 15 Years,2018-06-01,182074
15-19 Years,2018-06-01,71372
20-24 Years,2018-06-01,105056
25-34 Years,2018-06-01,321577
35-44 Years,2018-06-01,313360
45-54 Years,2018-06-01,249212
55-64 Years,2018-06-01,187827
65 & Over,2018-06-01,114201
Under 15 Years,2018-05-01,120815
15-19 Years,2018-05-01,43416
20-24 Years,2018-05-01,86281
25-34 Years,2018-05-01,326377
35-44 Years,2018-05-01,309264
45-54 Years,2018-05-01,252252
55-64 Years,2018-05-01,207555
65 & Over,2018-05-01,124931
Under 15 Years,2018-04-01,139981
15-19 Years,2018-04-01,38602
20-24 Years,2018-04-01,79114
25-34 Years,2018-04-01,338474
35-44 Years,2018-04-01,316965
45-54 Years,2018-04-01,260386
55-64 Years,2018-04-01,222322
65 & Over,2018-04-01,148404
Under 15 Years,2018-03-01,116945
15-19 Years,2018-03-01,39771
20-24 Years,2018-03-01,92967
25-34 Years,2018-03-01,338232
35-44 Years,2018-03-01,303897
45-54 Years,2018-03-01,267238
55-64 Years,2018-03-01,248755
65 & Over,2018-03-01,176601
Under 15 Years,2018-02-01,159863
15-19 Years,2018-02-01,44122
20-24 Years,2018-02-01,98803
25-34 Years,2018-02-01,306641
35-44 Years,2018-02-01,298047
45-54 Years,2018-02-01,238626
55-64 Years,2018-02-01,197036
65 & Over,2018-02-01,148832
Under 15 Years,2018-01-01,149119
15-19 Years,2018-01-01,50016
20-24 Years,2018-01-01,106183
25-34 Years,2018-01-01,317626
35-44 Years,2018-01-01,306187
45-54 Years,2018-01-01,258347
55-64 Years,2018-01-01,221091
65 & Over,2018-01-01,154790
Under 15 Years,2017-12-01,188362
15-19 Years,2017-12-01,72122
20-24 Years,2017-12-01,102656
25-34 Years,2017-12-01,319346
35-44 Years,2017-12-01,291368
45-54 Years,2017-12-01,253204
55-64 Years,2017-12-01,209638
65 & Over,2017-12-01,132920
Under 15 Years,2017-11-01,75484
15-19 Years,2017-11-01,38333
20-24 Years,2017-11-01,83729
25-34 Years,2017-11-01,316267
35-44 Years,2017-11-01,267867
45-54 Years,2017-11-01,251553
55-64 Years,2017-11-01,225004
65 & Over,2017-11-01,139093
Under 15 Years,2017-10-01,115209
15-19 Years,2017-10-01,41561
20-24 Years,2017-10-01,82868
25-34 Years,2017-10-01,328261
35-44 Years,2017-10-01,283769
45-54 Years,2017-10-01,238073
55-64 Years,2017-10-01,197533
65 & Over,2017-10-01,115025
Under 15 Years,2017-09-01,89587
15-19 Years,2017-09-01,28441
20-24 Years,2017-09-01,95416
25-34 Years,2017-09-01,329626
35-44 Years,2017-09-01,267118
45-54 Years,2017-09-01,230178
55-64 Years,2017-09-01,182310
65 & Over,2017-09-01,97374
Under 15 Years,2017-08-01,207655
15-19 Years,2017-08-01,70806
20-24 Years,2017-08-01,121838
25-34 Years,2017-08-01,328969
35-44 Years,2017-08-01,335523
45-54 Years,2017-08-01,249113
55-64 Years,2017-08-01,158076
65 & Over,2017-08-01,87303
Under 15 Years,2017-07-01,233123
15-19 Years,2017-07-01,94150
20-24 Years,2017-07-01,125434
25-34 Years,2017-07-01,319087
35-44 Years,2017-07-01,340854
45-54 Years,2017-07-01,265205
55-64 Years,2017-07-01,164059
65 & Over,2017-07-01,90223
Under 15 Years,2017-06-01,152882
15-19 Years,2017-06-01,63690
20-24 Years,2017-06-01,100600
25-34 Years,2017-06-01,288603
35-44 Years,2017-06-01,276543
45-54 Years,2017-06-01,229079
55-64 Years,2017-06-01,172997
65 & Over,2017-06-01,103207
Under 15 Years,2017-05-01,113458
15-19 Years,2017-05-01,40469
20-24 Years,2017-05-01,84214
25-34 Years,2017-05-01,310651
35-44 Years,2017-05-01,285369
45-54 Years,2017-05-01,234890
55-64 Years,2017-05-01,185929
65 & Over,2017-05-01,108917
Under 15 Years,2017-04-01,145020
15-19 Years,2017-04-01,41091
20-24 Years,2017-04-01,82805
25-34 Years,2017-04-01,330739
35-44 Years,2017-04-01,296832
45-54 Years,2017-04-01,247084
55-64 Years,2017-04-01,199962
65 & Over,2017-04-01,127217
Under 15 Years,2017-03-01,95631
15-19 Years,2017-03-01,32638
20-24 Years,2017-03-01,90847
25-34 Years,2017-03-01,324707
35-44 Years,2017-03-01,279625
45-54 Years,2017-03-01,252748
55-64 Years,2017-03-01,235475
65 & Over,2017-03-01,168490
Under 15 Years,2017-02-01,100786
15-19 Years,2017-02-01,33139
20-24 Years,2017-02-01,97903
25-34 Years,2017-02-01,288751
35-44 Years,2017-02-01,270304
45-54 Years,2017-02-01,235237
55-64 Years,2017-02-01,195190
65 & Over,2017-02-01,139700
Under 15 Years,2017-01-01,167118
15-19 Years,2017-01-01,55632
20-24 Years,2017-01-01,100621
25-34 Years,2017-01-01,297053
35-44 Years,2017-01-01,295192
45-54 Years,2017-01-01,244433
55-64 Years,2017-01-01,186917
65 & Over,2017-01-01,132925
Under 15 Years,2016-12-01,174627
15-19 Years,2016-12-01,68362
20-24 Years,2016-12-01,104051
25-34 Years,2016-12-01,313234
35-44 Years,2016-12-01,285021
45-54 Years,2016-12-01,249796
55-64 Years,2016-12-01,190131
65 & Over,2016-12-01,119397
Under 15 Years,2016-11-01,67551
15-19 Years,2016-11-01,33171
20-24 Years,2016-11-01,77853
25-34 Years,2016-11-01,285919
35-44 Years,2016-11-01,250135
45-54 Years,2016-11-01,228036
55-64 Years,2016-11-01,180800
65 & Over,2016-11-01,110645
Under 15 Years,2016-10-01,90736
15-19 Years,2016-10-01,36372
20-24 Years,2016-10-01,77843
25-34 Years,2016-10-01,292624
35-44 Years,2016-10-01,255349
45-54 Years,2016-10-01,216682
55-64 Years,2016-10-01,165688
65 & Over,2016-10-01,101035
Under 15 Years,2016-09-01,70770
15-19 Years,2016-09-01,26635
20-24 Years,2016-09-01,86706
25-34 Years,2016-09-01,293739
35-44 Years,2016-09-01,234061
45-54 Years,2016-09-01,202093
55-64 Years,2016-09-01,150015
65 & Over,2016-09-01,78854
Under 15 Years,2016-08-01,185571
15-19 Years,2016-08-01,67356
20-24 Years,2016-08-01,118869
25-34 Years,2016-08-01,312629
35-44 Years,2016-08-01,322644
45-54 Years,2016-08-01,241157
55-64 Years,2016-08-01,148963
65 & Over,2016-08-01,82900
Under 15 Years,2016-07-01,237561
15-19 Years,2016-07-01,93056
20-24 Years,2016-07-01,127175
25-34 Years,2016-07-01,317890
35-44 Years,2016-07-01,338811
45-54 Years,2016-07-01,257986
