Region/Country,year_month,no_of_visitors
Iran,2023-12-01,427
Israel,2023-12-01,693
Kuwait,2023-12-01,512
Saudi Arabia,2023-12-01,1568
United Arab Emirates,2023-12-01,7156
Other Markets In West Asia,2023-12-01,2374
Americas,2023-12-01,83791
Canada,2023-12-01,10998
USA,2023-12-01,65946
Other Markets In Americas,2023-12-01,6847
Europe,2023-12-01,138310
Belgium & Luxembourg,2023-12-01,1912
Denmark,2023-12-01,2042
Finland,2023-12-01,1957
France,2023-12-01,10010
Germany,2023-12-01,25476
Italy,2023-12-01,4237
Netherlands,2023-12-01,6723
Norway,2023-12-01,1732
Rep Of Ireland,2023-12-01,1612
Russian Federation,2023-12-01,5523
Spain,2023-12-01,3531
Sweden,2023-12-01,2846
Switzerland,2023-12-01,6704
United Kingdom,2023-12-01,46184
Other Markets In Europe,2023-12-01,17821
Oceania,2023-12-01,128877
Australia,2023-12-01,112197
New Zealand,2023-12-01,12717
Other Markets In Oceania,2023-12-01,3963
Africa,2023-12-01,8874
Egypt,2023-12-01,188
Mauritius,2023-12-01,965
South Africa (Rep Of),2023-12-01,4221
Other Markets In Africa,2023-12-01,3500
Others,2023-12-01,34
Total International Visitor Arrivals By Inbound Tourism Markets,2023-11-01,1100459
Southeast Asia,2023-11-01,418065
Brunei Darussalam,2023-11-01,4799
Indonesia,2023-11-01,184281
Malaysia,2023-11-01,93414
Myanmar,2023-11-01,11774
Philippines,2023-11-01,61213
Thailand,2023-11-01,26808
Vietnam,2023-11-01,27484
Other Markets In Southeast Asia,2023-11-01,8292
Greater China,2023-11-01,150216
China,2023-11-01,104347
Hong Kong SAR,2023-11-01,22646
Taiwan,2023-11-01,21575
Other Markets In Greater China,2023-11-01,1648
North Asia,2023-11-01,84154
Japan,2023-11-01,41412
South Korea,2023-11-01,42614
Other Markets In North Asia,2023-11-01,128
South Asia,2023-11-01,109957
Bangladesh,2023-11-01,10118
India,2023-11-01,90231
Pakistan,2023-11-01,1404
Sri Lanka,2023-11-01,5048
Other Markets In South Asia,2023-11-01,3156
West Asia,2023-11-01,10698
Iran,2023-11-01,560
Israel,2023-11-01,592
Kuwait,2023-11-01,269
Saudi Arabia,2023-11-01,2652
United Arab Emirates,2023-11-01,5120
Other Markets In West Asia,2023-11-01,1505
Americas,2023-11-01,80020
Canada,2023-11-01,13173
USA,2023-11-01,58805
Other Markets In Americas,2023-11-01,8042
Europe,2023-11-01,141356
Belgium & Luxembourg,2023-11-01,2469
Denmark,2023-11-01,2276
Finland,2023-11-01,2236
France,2023-11-01,12002
Germany,2023-11-01,26528
Italy,2023-11-01,4119
Netherlands,2023-11-01,7110
Norway,2023-11-01,1954
Rep Of Ireland,2023-11-01,2042
Russian Federation,2023-11-01,4695
Spain,2023-11-01,4098
Sweden,2023-11-01,2589
Switzerland,2023-11-01,6817
United Kingdom,2023-11-01,43195
Other Markets In Europe,2023-11-01,19226
Oceania,2023-11-01,100963
Australia,2023-11-01,88201
New Zealand,2023-11-01,9663
Other Markets In Oceania,2023-11-01,3099
Africa,2023-11-01,4995
Egypt,2023-11-01,269
Mauritius,2023-11-01,769
South Africa (Rep Of),2023-11-01,1789
Other Markets In Africa,2023-11-01,2168
Others,2023-11-01,35
Total International Visitor Arrivals By Inbound Tourism Markets,2023-10-01,1125964
Southeast Asia,2023-10-01,434927
Brunei Darussalam,2023-10-01,4390
Indonesia,2023-10-01,180884
Malaysia,2023-10-01,88643
Myanmar,2023-10-01,11360
Philippines,2023-10-01,54649
Thailand,2023-10-01,53442
Vietnam,2023-10-01,32730
Other Markets In Southeast Asia,2023-10-01,8829
Greater China,2023-10-01,177880
China,2023-10-01,122765
Hong Kong SAR,2023-10-01,25108
Taiwan,2023-10-01,28466
Other Markets In Greater China,2023-10-01,1541
North Asia,2023-10-01,83818
Japan,2023-10-01,38073
South Korea,2023-10-01,45621
Other Markets In North Asia,2023-10-01,124
South Asia,2023-10-01,114672
Bangladesh,2023-10-01,10721
India,2023-10-01,94334
Pakistan,2023-10-01,1484
Sri Lanka,2023-10-01,4487
Other Markets In South Asia,2023-10-01,3646
West Asia,2023-10-01,11379
Iran,2023-10-01,521
Israel,2023-10-01,1029
Kuwait,2023-10-01,473
Saudi Arabia,2023-10-01,1764
United Arab Emirates,2023-10-01,5534
Other Markets In West Asia,2023-10-01,2058
Americas,2023-10-01,60726
Canada,2023-10-01,9006
USA,2023-10-01,44140
Other Markets In Americas,2023-10-01,7580
Europe,2023-10-01,132680
Belgium & Luxembourg,2023-10-01,2371
Denmark,2023-10-01,2636
Finland,2023-10-01,2059
France,2023-10-01,13088
Germany,2023-10-01,24581
Italy,2023-10-01,4058
Netherlands,2023-10-01,7363
Norway,2023-10-01,1776
Rep Of Ireland,2023-10-01,1776
Russian Federation,2023-10-01,3952
Spain,2023-10-01,4717
Sweden,2023-10-01,2273
Switzerland,2023-10-01,7121
United Kingdom,2023-10-01,36194
Other Markets In Europe,2023-10-01,18715
Oceania,2023-10-01,104603
Australia,2023-10-01,88033
New Zealand,2023-10-01,13059
Other Markets In Oceania,2023-10-01,3511
Africa,2023-10-01,5233
Egypt,2023-10-01,265
Mauritius,2023-10-01,349
South Africa (Rep Of),2023-10-01,1833
Other Markets In Africa,2023-10-01,2786
Others,2023-10-01,46
Total International Visitor Arrivals By Inbound Tourism Markets,2023-09-01,1130762
Southeast Asia,2023-09-01,404106
Brunei Darussalam,2023-09-01,4502
Indonesia,2023-09-01,175603
Malaysia,2023-09-01,89384
Myanmar,2023-09-01,10631
Philippines,2023-09-01,50679
Thailand,2023-09-01,32307
Vietnam,2023-09-01,34736
Other Markets In Southeast Asia,2023-09-01,6264
Greater China,2023-09-01,188758
China,2023-09-01,135677
Hong Kong SAR,2023-09-01,25848
Taiwan,2023-09-01,25818
Other Markets In Greater China,2023-09-01,1415
North Asia,2023-09-01,94298
Japan,2023-09-01,45989
South Korea,2023-09-01,48187
Other Markets In North Asia,2023-09-01,122
South Asia,2023-09-01,100567
Bangladesh,2023-09-01,10240
India,2023-09-01,81016
Pakistan,2023-09-01,1360
Sri Lanka,2023-09-01,5156
Other Markets In South Asia,2023-09-01,2795
West Asia,2023-09-01,13928
Iran,2023-09-01,1009
Israel,2023-09-01,1805
Kuwait,2023-09-01,521
Saudi Arabia,2023-09-01,1844
United Arab Emirates,2023-09-01,6769
Other Markets In West Asia,2023-09-01,1980
Americas,2023-09-01,62765
Canada,2023-09-01,8407
USA,2023-09-01,46605
Other Markets In Americas,2023-09-01,7753
Europe,2023-09-01,137745
Belgium & Luxembourg,2023-09-01,2850
Denmark,2023-09-01,2158
Finland,2023-09-01,1275
France,2023-09-01,13476
Germany,2023-09-01,25075
Italy,2023-09-01,6547
Netherlands,2023-09-01,8584
Norway,2023-09-01,2013
Rep Of Ireland,2023-09-01,2062
Russian Federation,2023-09-01,3333
Spain,2023-09-01,6203
Sweden,2023-09-01,1484
Switzerland,2023-09-01,6079
United Kingdom,2023-09-01,38715
Other Markets In Europe,2023-09-01,17891
Oceania,2023-09-01,122983
Australia,2023-09-01,104497
New Zealand,2023-09-01,15022
Other Markets In Oceania,2023-09-01,3464
Africa,2023-09-01,5582
Egypt,2023-09-01,272
Mauritius,2023-09-01,412
South Africa (Rep Of),2023-09-01,2323
Other Markets In Africa,2023-09-01,2575
Others,2023-09-01,30
Total International Visitor Arrivals By Inbound Tourism Markets,2023-08-01,1312693
Southeast Asia,2023-08-01,429652
Brunei Darussalam,2023-08-01,6214
Indonesia,2023-08-01,168122
Malaysia,2023-08-01,88044
Myanmar,2023-08-01,10159
Philippines,2023-08-01,61802
Thailand,2023-08-01,34938
Vietnam,2023-08-01,51381
Other Markets In Southeast Asia,2023-08-01,8992
Greater China,2023-08-01,289817
China,2023-08-01,215442
Hong Kong SAR,2023-08-01,32627
Taiwan,2023-08-01,38432
Other Markets In Greater China,2023-08-01,3316
North Asia,2023-08-01,130666
Japan,2023-08-01,68304
South Korea,2023-08-01,62177
Other Markets In North Asia,2023-08-01,185
South Asia,2023-08-01,104652
Bangladesh,2023-08-01,11124
India,2023-08-01,83601
Pakistan,2023-08-01,1497
Sri Lanka,2023-08-01,5567
Other Markets In South Asia,2023-08-01,2863
West Asia,2023-08-01,19790
Iran,2023-08-01,406
Israel,2023-08-01,1669
Kuwait,2023-08-01,2157
Saudi Arabia,2023-08-01,3123
United Arab Emirates,2023-08-01,8749
Other Markets In West Asia,2023-08-01,3686
Americas,2023-08-01,62996
Canada,2023-08-01,9877
USA,2023-08-01,48489
Other Markets In Americas,2023-08-01,4630
Europe,2023-08-01,173132
Belgium & Luxembourg,2023-08-01,3466
Denmark,2023-08-01,1703
Finland,2023-08-01,838
France,2023-08-01,24471
Germany,2023-08-01,24633
Italy,2023-08-01,20896
Netherlands,2023-08-01,11327
Norway,2023-08-01,1378
Rep Of Ireland,2023-08-01,1984
Russian Federation,2023-08-01,3493
Spain,2023-08-01,10525
Sweden,2023-08-01,1396
Switzerland,2023-08-01,6359
United Kingdom,2023-08-01,41765
Other Markets In Europe,2023-08-01,18898
Oceania,2023-08-01,95791
Australia,2023-08-01,80605
New Zealand,2023-08-01,12499
Other Markets In Oceania,2023-08-01,2687
Africa,2023-08-01,6132
Egypt,2023-08-01,243
Mauritius,2023-08-01,377
South Africa (Rep Of),2023-08-01,1718
Other Markets In Africa,2023-08-01,3794
Others,2023-08-01,65
Total International Visitor Arrivals By Inbound Tourism Markets,2023-07-01,1419642
Southeast Asia,2023-07-01,519036
Brunei Darussalam,2023-07-01,5108
Indonesia,2023-07-01,229886
Malaysia,2023-07-01,84876
Myanmar,2023-07-01,10811
Philippines,2023-07-01,77160
Thailand,2023-07-01,41367
Vietnam,2023-07-01,60188
Other Markets In Southeast Asia,2023-07-01,9640
Greater China,2023-07-01,309869
China,2023-07-01,231331
Hong Kong SAR,2023-07-01,32175
Taiwan,2023-07-01,43097
Other Markets In Greater China,2023-07-01,3266
North Asia,2023-07-01,103861
Japan,2023-07-01,42730
South Korea,2023-07-01,60960
Other Markets In North Asia,2023-07-01,171
South Asia,2023-07-01,114733
Bangladesh,2023-07-01,11100
India,2023-07-01,93056
Pakistan,2023-07-01,2654
Sri Lanka,2023-07-01,4509
Other Markets In South Asia,2023-07-01,3414
West Asia,2023-07-01,22773
Iran,2023-07-01,298
Israel,2023-07-01,1596
Kuwait,2023-07-01,1511
Saudi Arabia,2023-07-01,5249
United Arab Emirates,2023-07-01,9793
Other Markets In West Asia,2023-07-01,4326
Americas,2023-07-01,81637
Canada,2023-07-01,9770
USA,2023-07-01,64786
Other Markets In Americas,2023-07-01,7081
Europe,2023-07-01,144826
Belgium & Luxembourg,2023-07-01,3995
Denmark,2023-07-01,2881
Finland,2023-07-01,1062
France,2023-07-01,18158
Germany,2023-07-01,21074
Italy,2023-07-01,6965
Netherlands,2023-07-01,10867
Norway,2023-07-01,3585
Rep Of Ireland,2023-07-01,2344
Russian Federation,2023-07-01,3627
Spain,2023-07-01,5983
Sweden,2023-07-01,1930
Switzerland,2023-07-01,8501
United Kingdom,2023-07-01,36886
Other Markets In Europe,2023-07-01,16968
Oceania,2023-07-01,116877
Australia,2023-07-01,98408
New Zealand,2023-07-01,15350
Other Markets In Oceania,2023-07-01,3119
Africa,2023-07-01,5926
Egypt,2023-07-01,348
Mauritius,2023-07-01,413
South Africa (Rep Of),2023-07-01,2166
Other Markets In Africa,2023-07-01,2999
Others,2023-07-01,104
Total International Visitor Arrivals By Inbound Tourism Markets,2023-06-01,1129310
Southeast Asia,2023-06-01,475814
Brunei Darussalam,2023-06-01,4121
Indonesia,2023-06-01,217052
Malaysia,2023-06-01,85945
Myanmar,2023-06-01,9877
Philippines,2023-06-01,71409
Thailand,2023-06-01,31029
Vietnam,2023-06-01,48924
Other Markets In Southeast Asia,2023-06-01,7457
Greater China,2023-06-01,167228
China,2023-06-01,113290
Hong Kong SAR,2023-06-01,23179
Taiwan,2023-06-01,28980
Other Markets In Greater China,2023-06-01,1779
North Asia,2023-06-01,65648
Japan,2023-06-01,25370
South Korea,2023-06-01,40187
Other Markets In North Asia,2023-06-01,91
South Asia,2023-06-01,133366
Bangladesh,2023-06-01,9685
India,2023-06-01,114588
Pakistan,2023-06-01,1724
Sri Lanka,2023-06-01,4368
Other Markets In South Asia,2023-06-01,3001
West Asia,2023-06-01,15806
Iran,2023-06-01,322
Israel,2023-06-01,1012
Kuwait,2023-06-01,967
Saudi Arabia,2023-06-01,2965
United Arab Emirates,2023-06-01,7525
Other Markets In West Asia,2023-06-01,3015
Americas,2023-06-01,70361
Canada,2023-06-01,6664
USA,2023-06-01,59074
Other Markets In Americas,2023-06-01,4623
Europe,2023-06-01,88537
Belgium & Luxembourg,2023-06-01,1646
Denmark,2023-06-01,1499
Finland,2023-06-01,1221
France,2023-06-01,9709
Germany,2023-06-01,15026
Italy,2023-06-01,3426
Netherlands,2023-06-01,5041
Norway,2023-06-01,1831
Rep Of Ireland,2023-06-01,1626
Russian Federation,2023-06-01,2796
Spain,2023-06-01,3562
Sweden,2023-06-01,1538
Switzerland,2023-06-01,3991
United Kingdom,2023-06-01,24244
Other Markets In Europe,2023-06-01,11381
Oceania,2023-06-01,107915
Australia,2023-06-01,90770
New Zealand,2023-06-01,13352
Other Markets In Oceania,2023-06-01,3793
Africa,2023-06-01,4575
Egypt,2023-06-01,211
Mauritius,2023-06-01,349
South Africa (Rep Of),2023-06-01,1946
Other Markets In Africa,2023-06-01,2069
Others,2023-06-01,60
Total International Visitor Arrivals By Inbound Tourism Markets,2023-05-01,1112512
Southeast Asia,2023-05-01,456263
Brunei Darussalam,2023-05-01,4570
Indonesia,2023-05-01,183758
Malaysia,2023-05-01,98347
Myanmar,2023-05-01,10104
Philippines,2023-05-01,59346
Thailand,2023-05-01,40375
Vietnam,2023-05-01,50765
Other Markets In Southeast Asia,2023-05-01,8998
Greater China,2023-05-01,148053
China,2023-05-01,95613
Hong Kong SAR,2023-05-01,26356
Taiwan,2023-05-01,24313
Other Markets In Greater China,2023-05-01,1771
North Asia,2023-05-01,68419
Japan,2023-05-01,29130
South Korea,2023-05-01,39203
Other Markets In North Asia,2023-05-01,86
South Asia,2023-05-01,147713
Bangladesh,2023-05-01,9529
India,2023-05-01,130444
Pakistan,2023-05-01,1222
Sri Lanka,2023-05-01,4276
Other Markets In South Asia,2023-05-01,2242
West Asia,2023-05-01,9408
Iran,2023-05-01,190
Israel,2023-05-01,1184
Kuwait,2023-05-01,305
Saudi Arabia,2023-05-01,836
United Arab Emirates,2023-05-01,5240
Other Markets In West Asia,2023-05-01,1653
Americas,2023-05-01,70426
Canada,2023-05-01,12592
USA,2023-05-01,50898
Other Markets In Americas,2023-05-01,6936
Europe,2023-05-01,113597
Belgium & Luxembourg,2023-05-01,2066
Denmark,2023-05-01,1727
Finland,2023-05-01,1122
France,2023-05-01,13557
Germany,2023-05-01,22534
Italy,2023-05-01,4092
Netherlands,2023-05-01,6631
Norway,2023-05-01,1210
Rep Of Ireland,2023-05-01,1777
Russian Federation,2023-05-01,3966
Spain,2023-05-01,3689
Sweden,2023-05-01,1585
Switzerland,2023-05-01,5383
United Kingdom,2023-05-01,30608
Other Markets In Europe,2023-05-01,13650
Oceania,2023-05-01,94073
Australia,2023-05-01,79700
New Zealand,2023-05-01,11146
Other Markets In Oceania,2023-05-01,3227
Africa,2023-05-01,4515
Egypt,2023-05-01,253
Mauritius,2023-05-01,363
South Africa (Rep Of),2023-05-01,1823
Other Markets In Africa,2023-05-01,2076
Others,2023-05-01,45
Total International Visitor Arrivals By Inbound Tourism Markets,2023-04-01,1128610
Southeast Asia,2023-04-01,489334
Brunei Darussalam,2023-04-01,5850
Indonesia,2023-04-01,220067
Malaysia,2023-04-01,98190
Myanmar,2023-04-01,11787
Philippines,2023-04-01,57030
Thailand,2023-04-01,49727
Vietnam,2023-04-01,36630
Other Markets In Southeast Asia,2023-04-01,10053
Greater China,2023-04-01,150903
China,2023-04-01,90725
Hong Kong SAR,2023-04-01,32791
Taiwan,2023-04-01,25280
Other Markets In Greater China,2023-04-01,2107
North Asia,2023-04-01,54012
Japan,2023-04-01,22134
South Korea,2023-04-01,31780
Other Markets In North Asia,2023-04-01,98
South Asia,2023-04-01,114668
Bangladesh,2023-04-01,9824
India,2023-04-01,97032
Pakistan,2023-04-01,684
Sri Lanka,2023-04-01,4897
Other Markets In South Asia,2023-04-01,2231
West Asia,2023-04-01,11604
Iran,2023-04-01,421
Israel,2023-04-01,1275
Kuwait,2023-04-01,308
Saudi Arabia,2023-04-01,750
United Arab Emirates,2023-04-01,6714
Other Markets In West Asia,2023-04-01,2136
Americas,2023-04-01,61029
Canada,2023-04-01,9428
USA,2023-04-01,44779
Other Markets In Americas,2023-04-01,6822
Europe,2023-04-01,135415
Belgium & Luxembourg,2023-04-01,2144
Denmark,2023-04-01,2407
Finland,2023-04-01,1318
France,2023-04-01,13260
Germany,2023-04-01,24219
Italy,2023-04-01,4220
Netherlands,2023-04-01,6398
Norway,2023-04-01,1810
Rep Of Ireland,2023-04-01,1893
Russian Federation,2023-04-01,5044
Spain,2023-04-01,4517
Sweden,2023-04-01,2150
Switzerland,2023-04-01,7350
United Kingdom,2023-04-01,41576
Other Markets In Europe,2023-04-01,17109
Oceania,2023-04-01,106741
Australia,2023-04-01,92937
New Zealand,2023-04-01,11065
Other Markets In Oceania,2023-04-01,2739
Africa,2023-04-01,4812
Egypt,2023-04-01,155
Mauritius,2023-04-01,581
South Africa (Rep Of),2023-04-01,2177
Other Markets In Africa,2023-04-01,1899
Others,2023-04-01,92
Total International Visitor Arrivals By Inbound Tourism Markets,2023-03-01,1021040
Southeast Asia,2023-03-01,414934
Brunei Darussalam,2023-03-01,4460
Indonesia,2023-03-01,171507
Malaysia,2023-03-01,97835
Myanmar,2023-03-01,9122
Philippines,2023-03-01,50591
Thailand,2023-03-01,43145
Vietnam,2023-03-01,31347
Other Markets In Southeast Asia,2023-03-01,6927
Greater China,2023-03-01,105132
China,2023-03-01,60888
Hong Kong SAR,2023-03-01,23465
Taiwan,2023-03-01,19204
Other Markets In Greater China,2023-03-01,1575
North Asia,2023-03-01,71803
Japan,2023-03-01,36302
South Korea,2023-03-01,35396
Other Markets In North Asia,2023-03-01,105
South Asia,2023-03-01,92470
Bangladesh,2023-03-01,9711
India,2023-03-01,75339
Pakistan,2023-03-01,1060
Sri Lanka,2023-03-01,4088
Other Markets In South Asia,2023-03-01,2272
West Asia,2023-03-01,12923
Iran,2023-03-01,1414
Israel,2023-03-01,1639
Kuwait,2023-03-01,205
Saudi Arabia,2023-03-01,880
United Arab Emirates,2023-03-01,6795
Other Markets In West Asia,2023-03-01,1990
Americas,2023-03-01,73624
Canada,2023-03-01,12626
USA,2023-03-01,54157
Other Markets In Americas,2023-03-01,6841
Europe,2023-03-01,161938
Belgium & Luxembourg,2023-03-01,2215
Denmark,2023-03-01,2679
Finland,2023-03-01,2131
France,2023-03-01,12924
Germany,2023-03-01,34976
Italy,2023-03-01,4643
Netherlands,2023-03-01,6956
Norway,2023-03-01,2342
Rep Of Ireland,2023-03-01,1992
Russian Federation,2023-03-01,6635
Spain,2023-03-01,3936
Sweden,2023-03-01,2786
Switzerland,2023-03-01,5940
United Kingdom,2023-03-01,50330
Other Markets In Europe,2023-03-01,21453
Oceania,2023-03-01,83827
Australia,2023-03-01,74268
New Zealand,2023-03-01,6871
Other Markets In Oceania,2023-03-01,2688
Africa,2023-03-01,4300
Egypt,2023-03-01,168
Mauritius,2023-03-01,474
South Africa (Rep Of),2023-03-01,1995
Other Markets In Africa,2023-03-01,1663
Others,2023-03-01,89
Total International Visitor Arrivals By Inbound Tourism Markets,2023-02-01,957844
Southeast Asia,2023-02-01,376496
Brunei Darussalam,2023-02-01,4739
Indonesia,2023-02-01,156448
Malaysia,2023-02-01,88040
Myanmar,2023-02-01,7734
Philippines,2023-02-01,47446
Thailand,2023-02-01,37156
Vietnam,2023-02-01,27896
Other Markets In Southeast Asia,2023-02-01,7037
Greater China,2023-02-01,82278
China,2023-02-01,35312
Hong Kong SAR,2023-02-01,20227
Taiwan,2023-02-01,25037
Other Markets In Greater China,2023-02-01,1702
North Asia,2023-02-01,97981
Japan,2023-02-01,32932
South Korea,2023-02-01,64876
Other Markets In North Asia,2023-02-01,173
South Asia,2023-02-01,76883
Bangladesh,2023-02-01,8006
India,2023-02-01,61301
Pakistan,2023-02-01,1584
Sri Lanka,2023-02-01,3829
Other Markets In South Asia,2023-02-01,2163
West Asia,2023-02-01,9159
Iran,2023-02-01,175
Israel,2023-02-01,1510
Kuwait,2023-02-01,359
Saudi Arabia,2023-02-01,688
United Arab Emirates,2023-02-01,4971
Other Markets In West Asia,2023-02-01,1456
Americas,2023-02-01,72702
Canada,2023-02-01,13407
USA,2023-02-01,52830
Other Markets In Americas,2023-02-01,6465
Europe,2023-02-01,156384
Belgium & Luxembourg,2023-02-01,2079
Denmark,2023-02-01,3216
Finland,2023-02-01,2312
France,2023-02-01,13722
Germany,2023-02-01,31063
Italy,2023-02-01,4861
Netherlands,2023-02-01,7053
Norway,2023-02-01,2439
Rep Of Ireland,2023-02-01,1868
Russian Federation,2023-02-01,7009
Spain,2023-02-01,3302
Sweden,2023-02-01,2967
Switzerland,2023-02-01,6310
United Kingdom,2023-02-01,45785
Other Markets In Europe,2023-02-01,22398
Oceania,2023-02-01,81765
Australia,2023-02-01,72385
New Zealand,2023-02-01,6821
Other Markets In Oceania,2023-02-01,2559
Africa,2023-02-01,4073
Egypt,2023-02-01,205
Mauritius,2023-02-01,274
South Africa (Rep Of),2023-02-01,1698
Other Markets In Africa,2023-02-01,1896
Others,2023-02-01,123
Total International Visitor Arrivals By Inbound Tourism Markets,2023-01-01,931814
Southeast Asia,2023-01-01,362255
Brunei Darussalam,2023-01-01,3653
Indonesia,2023-01-01,168975
Malaysia,2023-01-01,72756
Myanmar,2023-01-01,8982
Philippines,2023-01-01,38484
Thailand,2023-01-01,29735
