Region/Country,year_month,no_of_visitors
Finland,2024-05-01,1533
France,2024-05-01,15066
Germany,2024-05-01,24531
Italy,2024-05-01,4473
Netherlands,2024-05-01,7522
Norway,2024-05-01,1213
Rep Of Ireland,2024-05-01,1791
Russian Federation,2024-05-01,3654
Spain,2024-05-01,3704
Sweden,2024-05-01,1457
Switzerland,2024-05-01,6393
United Kingdom,2024-05-01,33195
Other Markets In Europe,2024-05-01,16775
Oceania,2024-05-01,95393
Australia,2024-05-01,79588
New Zealand,2024-05-01,12808
Other Markets In Oceania,2024-05-01,2997
Africa,2024-05-01,6636
Egypt,2024-05-01,281
Mauritius,2024-05-01,372
South Africa (Rep Of),2024-05-01,1778
Other Markets In Africa,2024-05-01,4205
Others,2024-05-01,436
Total International Visitor Arrivals By Inbound Tourism Markets,2024-04-01,1343319
Southeast Asia,2024-04-01,506437
Brunei Darussalam,2024-04-01,4844
Indonesia,2024-04-01,243892
Malaysia,2024-04-01,106186
Myanmar,2024-04-01,15985
Philippines,2024-04-01,53154
Thailand,2024-04-01,42507
Vietnam,2024-04-01,30810
Other Markets In Southeast Asia,2024-04-01,9059
Greater China,2024-04-01,278900
China,2024-04-01,220435
Hong Kong SAR,2024-04-01,26453
Taiwan,2024-04-01,30309
Other Markets In Greater China,2024-04-01,1703
North Asia,2024-04-01,69859
Japan,2024-04-01,32434
South Korea,2024-04-01,37346
Other Markets In North Asia,2024-04-01,79
South Asia,2024-04-01,128285
Bangladesh,2024-04-01,11707
India,2024-04-01,106715
Pakistan,2024-04-01,956
Sri Lanka,2024-04-01,6187
Other Markets In South Asia,2024-04-01,2720
West Asia,2024-04-01,17470
Iran,2024-04-01,404
Israel,2024-04-01,1447
Kuwait,2024-04-01,313
Saudi Arabia,2024-04-01,1954
United Arab Emirates,2024-04-01,10518
Other Markets In West Asia,2024-04-01,2834
Americas,2024-04-01,69011
Canada,2024-04-01,11325
USA,2024-04-01,49741
Other Markets In Americas,2024-04-01,7945
Europe,2024-04-01,155963
Belgium & Luxembourg,2024-04-01,2969
Denmark,2024-04-01,2398
Finland,2024-04-01,2008
France,2024-04-01,16785
Germany,2024-04-01,27950
Italy,2024-04-01,5149
Netherlands,2024-04-01,7188
Norway,2024-04-01,1763
Rep Of Ireland,2024-04-01,1921
Russian Federation,2024-04-01,5216
Spain,2024-04-01,3814
Sweden,2024-04-01,2123
Switzerland,2024-04-01,8298
United Kingdom,2024-04-01,47507
Other Markets In Europe,2024-04-01,20874
Oceania,2024-04-01,112497
Australia,2024-04-01,96752
New Zealand,2024-04-01,13052
Other Markets In Oceania,2024-04-01,2693
Africa,2024-04-01,4857
Egypt,2024-04-01,153
Mauritius,2024-04-01,582
South Africa (Rep Of),2024-04-01,1992
Other Markets In Africa,2024-04-01,2130
Others,2024-04-01,40
Total International Visitor Arrivals By Inbound Tourism Markets,2024-03-01,1464865
Southeast Asia,2024-03-01,534123
Brunei Darussalam,2024-03-01,4779
Indonesia,2024-03-01,204970
Malaysia,2024-03-01,120242
Myanmar,2024-03-01,15327
Philippines,2024-03-01,100271
Thailand,2024-03-01,45975
Vietnam,2024-03-01,35358
Other Markets In Southeast Asia,2024-03-01,7201
Greater China,2024-03-01,315946
China,2024-03-01,247658
Hong Kong SAR,2024-03-01,35786
Taiwan,2024-03-01,30344
Other Markets In Greater China,2024-03-01,2158
