date,actual_date,forecast_day,temp_low,temp_high,humidity_low,humidity_high,forecast_summary,forecast_text,wind_speed_low,wind_speed_high,wind_direction,north_avg_daily_psi,south_avg_daily_psi,east_avg_daily_psi,west_avg_daily_psi,central_avg_daily_psi,average_nationwide_psi,highest_region_reading,psi_level_rating,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),avg_daily_relative_humidity,windspeed
27/11/2018,Tuesday,Wednesday,24,33,65,95,Afternoon thundery showers.,Thundery Showers,10,20,NNE,51.33,54.75,53.17,45.33,54.25,51.77,south_avg_daily_psi,Moderate,19.4,13.6,16.4,18.6,27,30.1,23.5,5.8,38.9,82.15,1.72
28/11/2018,Wednesday,Thursday,24,33,65,95,Afternoon thundery showers.,Thundery Showers,10,20,NNE,43.08,52.5,53.67,35.58,47.5,46.47,east_avg_daily_psi,Good,13.6,12,13.6,13.6,28,32,25,4.3,24.8,78.64,1.72
29/11/2018,Thursday,Friday,24,33,65,95,Afternoon thundery showers.,Thundery Showers,10,25,N,43.25,53.67,52.67,50.25,52,50.37,south_avg_daily_psi,Good,1.4,0.8,0.8,0.8,28.6,32.1,26.2,4.3,27.4,76.1,1.48
30/11/2018,Friday,Saturday,24,32,60,90,Afternoon and evening thundery showers.,Thundery Showers,10,20,NNE,40.42,50.83,51.83,31,46.42,44.1,east_avg_daily_psi,Good,3.2,1,1.2,1.4,27.8,32,26,4.3,20.5,80.03,1.82
1/12/2018,Saturday,Sunday,24,33,65,95,Late morning and afternoon thundery showers.,Thundery Showers,15,20,NNE,33.83,40.08,43.25,30.5,38.5,37.23,east_avg_daily_psi,Good,15.6,4.8,5.6,6.6,27.1,31.7,24.6,4.3,30.2,82.9,1.68
2/12/2018,Sunday,Monday,24,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,N,35.08,33.5,36.42,22.92,35.83,32.75,east_avg_daily_psi,Good,18.8,9.2,13,14.8,27.2,32.6,25.3,5,24.8,82.87,1.82
3/12/2018,Monday,Tuesday,24,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NE,29.42,28.83,31.58,19.5,26.17,27.1,east_avg_daily_psi,Good,5.8,4.6,5.4,5.8,26.8,31,25.2,3.6,16.2,85.32,1.08
4/12/2018,Tuesday,Wednesday,24,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NE,42.08,50.5,51.42,28,44.08,43.22,east_avg_daily_psi,Good,10.4,6.8,9.6,9.8,28.2,33,25.4,4.7,20.2,79.76,2.78
5/12/2018,Wednesday,Thursday,24,34,60,95,Afternoon and evening thundery showers.,Thundery Showers,10,20,NNW,37.92,46.33,42.42,45.5,43.75,43.18,south_avg_daily_psi,Good,1.6,0.8,1.2,1.2,27.7,32.7,25.8,4,25.6,82.86,1.67
6/12/2018,Thursday,Friday,24,33,60,90,Afternoon and evening thundery showers.,Thundery Showers,10,25,NW,38.33,51.5,50.67,29.92,48.67,43.82,south_avg_daily_psi,Good,0.6,0.4,0.6,0.6,27.8,30.9,25.9,4,19.4,80.33,2.02
7/12/2018,Friday,Saturday,24,34,60,90,Afternoon thundery showers.,Thundery Showers,5,15,NNE,38.58,52.75,50.58,45.08,52.08,47.82,south_avg_daily_psi,Good,0.2,0.2,0.2,0.2,27.9,30.7,25.9,4.3,19.1,77.2,1.6
8/12/2018,Saturday,Sunday,24,34,55,90,Afternoon thundery showers.,Thundery Showers,5,15,NNE,41.5,55.5,51.75,35.08,53.5,47.47,south_avg_daily_psi,Good,1.4,0.8,0.8,1,27.8,31.4,26.2,5,23.8,79.69,1.84
9/12/2018,Sunday,Monday,24,34,60,90,Afternoon thundery showers.,Thundery Showers,5,15,NNE,42,51.42,51,35.17,49,45.72,south_avg_daily_psi,Good,26.6,22.2,25.8,25.8,28.2,32.9,24.8,4,27.7,81.73,1.23
10/12/2018,Monday,Tuesday,24,33,60,95,Afternoon and evening thundery showers.,Thundery Showers,10,20,NNW,40.67,48.58,46.58,27.08,48.58,42.3,south_avg_daily_psi,Good,9.4,5.2,5.2,5.2,27.6,31.1,25.8,3.6,20.9,83.44,1.63
11/12/2018,Tuesday,Wednesday,24,33,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NE,36.67,45.08,48.67,28.08,44.5,40.6,east_avg_daily_psi,Good,5.2,1.6,2,3.2,26.8,30.6,24.5,4.3,40.3,84.05,1.64
12/12/2018,Wednesday,Thursday,23,30,70,90,"Periods of showers, at times with thunder.",Thundery Showers,15,25,NE,41.08,47.92,43.42,25,40.08,39.5,south_avg_daily_psi,Good,13,6.2,10.2,12.6,26.8,32.2,24.7,3.2,14.8,84.93,1.75
13/12/2018,Thursday,Friday,23,29,65,95,Cloudy with occasional showers.,Showers,10,25,NNE,49.17,44.17,48.83,22.83,48.92,42.78,north_avg_daily_psi,Good,0,0,0,0,27,29.5,25,4,27.4,82.11,1.72
14/12/2018,Friday,Saturday,24,33,60,95,Afternoon thundery showers.,Thundery Showers,10,20,N,33,34.08,38.83,24.08,35.75,33.15,east_avg_daily_psi,Good,0,0,0,0,27.6,30.7,25.3,4.3,23.8,76.24,1.72
15/12/2018,Saturday,Sunday,24,33,60,95,Late afternoon and evening thundery showers.,Thundery Showers,10,20,NW,36.17,37.67,37,25.33,39,35.03,central_avg_daily_psi,Good,2.8,1.6,2.4,2.8,27.4,31.2,24.6,4.3,26.6,78.23,1.96
16/12/2018,Sunday,Monday,24,33,60,95,Afternoon thundery showers.,Thundery Showers,5,15,VARIABLE,42.08,47.08,47.92,26,47.17,42.05,east_avg_daily_psi,Good,11.6,8,8.4,9,26.9,32.3,23.8,4.3,19.8,81.4,1.71
